Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
2008-05-27,32235.0,16841.0,13123.0,565.0,9851.0,12942.0,27257.0,26630.0,4978.0,5605.0
2008-05-20,32810.0,16849.0,13192.0,686.0,9990.0,13072.0,27526.0,26951.0,5285.0,5860.0
2008-05-13,33123.0,17170.0,13000.0,738.0,9510.0,13254.0,27418.0,26992.0,5705.0,6131.0
2008-05-06,31479.0,16807.0,12419.0,701.0,9458.0,12975.0,26966.0,26095.0,4513.0,5384.0
2008-04-29,30760.0,15972.0,11875.0,680.0,9499.0,13185.0,26150.0,25740.0,4610.0,5020.0
2008-04-22,30114.0,15509.0,10890.0,642.0,8844.0,13275.0,24995.0,24807.0,5119.0,5306.0
2008-04-15,30215.0,15209.0,10327.0,630.0,9221.0,14448.0,25059.0,25405.0,5156.0,4810.0
2008-04-08,33100.0,15655.0,9905.0,663.0,8870.0,14653.0,25188.0,25221.0,7912.0,7879.0
2008-04-01,28990.0,16044.0,9609.0,537.0,7880.0,13171.0,24460.0,23316.0,4530.0,5674.0
2008-03-25,25105.0,14108.0,8120.0,407.0,6693.0,11985.0,21208.0,20512.0,3897.0,4593.0
2008-03-18,47131.0,19017.0,14531.0,5766.0,14754.0,15263.0,39536.0,35560.0,7595.0,11571.0
2008-03-11,38317.0,17849.0,14823.0,3006.0,13537.0,13058.0,34391.0,30887.0,3926.0,7430.0
2008-03-04,37253.0,17302.0,14585.0,2457.0,13188.0,12425.0,32948.0,29467.0,4305.0,7785.0
2008-02-26,35201.0,17046.0,13792.0,1629.0,12398.0,11841.0,31073.0,27262.0,4128.0,7939.0
2008-02-19,33982.0,15154.0,12477.0,2107.0,12927.0,11793.0,30187.0,26377.0,3795.0,7605.0
2008-02-12,34928.0,15342.0,12497.0,2389.0,13041.0,12341.0,30772.0,27227.0,4156.0,7701.0
2008-02-05,31780.0,13323.0,12544.0,1660.0,12698.0,10283.0,27681.0,24487.0,4099.0,7293.0
2008-01-29,30879.0,11672.0,12575.0,1699.0,13055.0,10835.0,26427.0,25110.0,4453.0,5770.0
2008-01-22,30464.0,9605.0,14288.0,1785.0,12958.0,8397.0,24348.0,24470.0,6117.0,5995.0
2008-01-15,30321.0,9678.0,14254.0,1510.0,13404.0,8899.0,24592.0,24663.0,5730.0,5658.0
2008-01-08,28534.0,9037.0,14059.0,1518.0,12729.0,8424.0,23284.0,24001.0,5250.0,4533.0
2007-12-31,25428.0,7019.0,13431.0,288.0,12959.0,6914.0,20265.0,20633.0,5163.0,4795.0
2007-12-24,24976.0,7044.0,12974.0,201.0,12714.0,6870.0,19959.0,20045.0,5017.0,4931.0
2007-12-18,45217.0,14699.0,14252.0,1690.0,22156.0,19036.0,38546.0,34978.0,6671.0,10239.0
2007-12-11,40242.0,14935.0,13131.0,1440.0,18196.0,15722.0,34572.0,30293.0,5671.0,9949.0
2007-12-04,37343.0,14403.0,12743.0,1344.0,16507.0,14042.0,32254.0,28129.0,5088.0,9213.0
2007-11-27,37719.0,13507.0,11726.0,1449.0,16937.0,15710.0,31893.0,28885.0,5826.0,8834.0
2007-11-20,37243.0,12963.0,12040.0,1393.0,17609.0,17300.0,31965.0,30733.0,5278.0,6510.0
2007-11-13,38022.0,14238.0,11709.0,1063.0,17034.0,17277.0,32335.0,30049.0,5687.0,7973.0
2007-11-06,35760.0,14315.0,11155.0,767.0,15375.0,16529.0,30456.0,28451.0,5304.0,7309.0
2007-10-30,35602.0,13097.0,10597.0,458.0,17470.0,17661.0,31025.0,28716.0,4577.0,6886.0
2007-10-23,33821.0,11946.0,10089.0,320.0,16990.0,17054.0,29257.0,27463.0,4564.0,6358.0
2007-10-16,32279.0,9384.0,10464.0,556.0,17711.0,17724.0,27650.0,28744.0,4629.0,3535.0
2007-10-09,29818.0,7294.0,7766.0,408.0,17339.0,15532.0,25042.0,23706.0,4776.0,6112.0
2007-10-02,28713.0,7253.0,7339.0,379.0,15309.0,14958.0,22941.0,22676.0,5773.0,6037.0
2007-09-25,25502.0,6959.0,6249.0,350.0,13852.0,13464.0,21162.0,20064.0,4340.0,5438.0
2007-09-18,48973.0,19771.0,15300.0,3470.0,19888.0,21562.0,43129.0,40332.0,5844.0,8642.0
2007-09-11,44124.0,18973.0,15650.0,2227.0,16018.0,18259.0,37218.0,36136.0,6906.0,7988.0
2007-09-04,40596.0,18496.0,15084.0,1378.0,15456.0,17743.0,35331.0,34206.0,5266.0,6390.0
2007-08-28,40447.0,18179.0,15528.0,1280.0,15716.0,17494.0,35175.0,34302.0,5273.0,6146.0
2007-08-21,40438.0,17395.0,15884.0,1416.0,15507.0,16802.0,34318.0,34102.0,6121.0,6336.0
2007-08-14,41787.0,16451.0,14685.0,1967.0,15891.0,17263.0,34310.0,33915.0,7477.0,7871.0
2007-08-07,40484.0,16936.0,13061.0,1419.0,15750.0,17208.0,34104.0,31687.0,6379.0,8796.0
2007-07-31,38327.0,16189.0,12681.0,1544.0,14211.0,16872.0,31944.0,31097.0,6383.0,7230.0
2007-07-24,35976.0,15869.0,11816.0,938.0,13367.0,15154.0,30174.0,27908.0,5802.0,8068.0
2007-07-17,36622.0,14638.0,13089.0,1247.0,14238.0,14576.0,30123.0,28912.0,6499.0,7710.0
2007-07-10,34828.0,13562.0,11801.0,1322.0,14253.0,13109.0,29136.0,26232.0,5692.0,8597.0
2007-07-03,33861.0,12731.0,11225.0,1268.0,14694.0,13042.0,28692.0,25535.0,5168.0,8326.0
2007-06-26,34643.0,13064.0,12753.0,1109.0,14578.0,12197.0,28750.0,26059.0,5893.0,8584.0
2007-06-19,34492.0,11429.0,12937.0,1010.0,15604.0,12086.0,28043.0,26033.0,6449.0,8458.0
2007-06-12,64188.0,24968.0,11597.0,5928.0,21792.0,36730.0,52687.0,54255.0,11501.0,9933.0
2007-06-05,56436.0,26289.0,12970.0,2606.0,18299.0,32070.0,47194.0,47646.0,9242.0,8791.0
2007-05-29,54024.0,24693.0,11040.0,1830.0,18345.0,32329.0,44868.0,45200.0,9156.0,8824.0
2007-05-22,52367.0,24500.0,11400.0,1269.0,17525.0,31430.0,43295.0,44099.0,9073.0,8268.0
2007-05-15,52019.0,23409.0,11190.0,1209.0,18813.0,29855.0,43431.0,42254.0,8588.0,9765.0
2007-05-08,50902.0,22605.0,11369.0,1176.0,18206.0,28554.0,41987.0,41099.0,8915.0,9803.0
2007-05-01,51115.0,24061.0,10240.0,1022.0,18576.0,31256.0,43660.0,42519.0,7455.0,8596.0
2007-04-24,44906.0,19257.0,7252.0,696.0,17894.0,29173.0,37847.0,37121.0,7059.0,7785.0
2007-04-17,43412.0,17200.0,7638.0,615.0,17607.0,28040.0,35422.0,36294.0,7990.0,7118.0
2007-04-10,42578.0,17539.0,7212.0,878.0,17537.0,28136.0,35953.0,36226.0,6625.0,6352.0
2007-04-03,42172.0,17331.0,6866.0,1000.0,17507.0,28119.0,35839.0,35985.0,6334.0,6187.0
2007-03-27,40799.0,16730.0,5480.0,982.0,16802.0,28307.0,34514.0,34769.0,6285.0,6030.0
2007-03-20,40219.0,16538.0,5311.0,879.0,16413.0,28471.0,33830.0,34661.0,6388.0,5558.0
2007-03-13,80292.0,30701.0,6258.0,5289.0,20960.0,60628.0,56950.0,72174.0,23342.0,8118.0
2007-03-06,74428.0,31559.0,5804.0,1730.0,19663.0,59280.0,52952.0,66815.0,21475.0,7613.0
2007-02-27,75972.0,31710.0,6963.0,1007.0,19533.0,60249.0,52250.0,68220.0,23722.0,7753.0
2007-02-20,76047.0,33235.0,7579.0,544.0,19938.0,59683.0,53717.0,67806.0,22330.0,8241.0
2007-02-13,72952.0,29732.0,7180.0,517.0,19827.0,57432.0,50077.0,65129.0,22875.0,7823.0
2007-02-06,72758.0,29773.0,6996.0,518.0,19625.0,57484.0,49916.0,64998.0,22842.0,7760.0
2007-01-30,70995.0,27577.0,5383.0,416.0,19847.0,57068.0,47841.0,62866.0,23155.0,8129.0
2007-01-23,69303.0,26710.0,4841.0,242.0,19528.0,56610.0,46480.0,61693.0,22823.0,7609.0
2007-01-16,67708.0,25682.0,5605.0,691.0,19152.0,54045.0,45525.0,60340.0,22183.0,7367.0
2007-01-09,67900.0,24880.0,7437.0,630.0,18786.0,51505.0,44296.0,59572.0,23604.0,8328.0
2007-01-03,65702.0,24447.0,6694.0,697.0,20392.0,51658.0,45536.0,59048.0,20166.0,6654.0
2006-12-26,66441.0,27585.0,7970.0,596.0,20161.0,51410.0,48342.0,59976.0,18099.0,6465.0
2006-12-19,66871.0,27456.0,7545.0,596.0,20293.0,51275.0,48344.0,59416.0,18527.0,7455.0
2006-12-12,95564.0,20183.0,13909.0,13539.0,33916.0,56060.0,67638.0,83508.0,27926.0,12056.0
2006-12-05,67449.0,18519.0,12736.0,1026.0,21428.0,43663.0,40973.0,57425.0,26476.0,10024.0
2006-11-28,63829.0,18034.0,13351.0,765.0,18679.0,41075.0,37478.0,55191.0,26351.0,8638.0
2006-11-21,63645.0,18878.0,13305.0,704.0,18957.0,40594.0,38538.0,54602.0,25107.0,9043.0
2006-11-14,64507.0,18071.0,13405.0,867.0,19487.0,41448.0,38425.0,55721.0,26083.0,8786.0
2006-11-07,65333.0,18015.0,12289.0,791.0,19478.0,42258.0,38285.0,55338.0,27048.0,9995.0
2006-10-31,64747.0,18467.0,12358.0,910.0,20694.0,42749.0,40071.0,56017.0,24676.0,8730.0
2006-10-24,65344.0,17630.0,12129.0,869.0,20349.0,43034.0,38848.0,56032.0,26496.0,9312.0
2006-10-17,64472.0,17313.0,12065.0,960.0,20249.0,42109.0,38521.0,55134.0,25951.0,9339.0
2006-10-10,63648.0,17088.0,10368.0,1007.0,20218.0,42375.0,38313.0,53750.0,25335.0,9898.0
2006-10-03,61756.0,14943.0,9339.0,950.0,20071.0,42366.0,35964.0,52655.0,25792.0,9101.0
2006-09-26,57610.0,13437.0,7936.0,527.0,18861.0,40660.0,32826.0,49124.0,24784.0,8487.0
2006-09-19,56295.0,11958.0,7458.0,514.0,19214.0,40723.0,31687.0,48695.0,24608.0,7600.0
2006-09-12,79221.0,15026.0,5766.0,11126.0,24252.0,50228.0,50403.0,67119.0,28818.0,12102.0
2006-09-05,63049.0,12185.0,5059.0,1176.0,22189.0,48513.0,35549.0,54748.0,27500.0,8301.0
2006-08-29,61818.0,12670.0,4418.0,763.0,20998.0,48591.0,34430.0,53772.0,27387.0,8046.0
2006-08-22,61176.0,12137.0,4162.0,817.0,21266.0,48416.0,34219.0,53394.0,26957.0,7782.0
2006-08-15,59803.0,12135.0,4146.0,785.0,20931.0,48058.0,33851.0,52990.0,25952.0,6813.0
2006-08-08,60103.0,11302.0,3514.0,923.0,20913.0,48098.0,33138.0,52535.0,26965.0,7568.0
2006-08-01,59589.0,10933.0,3599.0,856.0,21382.0,48383.0,33170.0,52837.0,26419.0,6752.0
2006-07-25,59236.0,11894.0,3390.0,785.0,19460.0,48092.0,32139.0,52267.0,27097.0,6969.0
2006-07-18,58536.0,13929.0,4463.0,1025.0,17057.0,48641.0,32011.0,54130.0,26525.0,4406.0
2006-07-11,56915.0,14339.0,3692.0,695.0,15226.0,45843.0,30260.0,50229.0,26655.0,6686.0
2006-07-03,56213.0,13720.0,3589.0,863.0,15678.0,45669.0,30262.0,50122.0,25951.0,6091.0
2006-06-27,55519.0,13391.0,3447.0,900.0,15055.0,45658.0,29345.0,50005.0,26173.0,5514.0
2006-06-20,56064.0,13535.0,3953.0,781.0,15383.0,45536.0,29698.0,50270.0,26366.0,5795.0
2006-06-13,67357.0,11177.0,6763.0,11162.0,26417.0,40473.0,48755.0,58398.0,18601.0,8959.0
2006-06-06,48689.0,11591.0,7930.0,1336.0,19819.0,33767.0,32746.0,43033.0,15943.0,5656.0
2006-05-30,46692.0,12620.0,7388.0,697.0,19011.0,32351.0,32328.0,40435.0,14364.0,6257.0
2006-05-23,47110.0,12177.0,7585.0,678.0,19459.0,32645.0,32315.0,40908.0,14795.0,6202.0
2006-05-16,49669.0,14752.0,6487.0,751.0,19878.0,31710.0,35382.0,38949.0,14287.0,10720.0
2006-05-09,47631.0,12585.0,7021.0,726.0,21616.0,30695.0,34927.0,38442.0,12705.0,9189.0
2006-05-02,47494.0,13005.0,7292.0,609.0,21764.0,30495.0,35377.0,38396.0,12116.0,9098.0
2006-04-25,46957.0,12056.0,7633.0,612.0,21633.0,30442.0,34301.0,38688.0,12656.0,8269.0
